2019 Rank; Country; Safety and Security; Personal Freedom; Governance; Social Capital; Investment Environment; Enterprise Conditions; Market Access and Infrastructure; Economic Quality; Living Conditions; Health; Education; Natural Environment
1;Denmark;5;2;3;2;6;7;8;8;1;8;3;10
2;Norway;2;1;1;1;2;9;15;12;7;5;11;7
3;Switzerland;1;12;7;8;13;3;7;2;4;3;12;5
4;Sweden;11;4;6;9;10;13;5;4;3;15;17;1
5;Finland;17;3;2;4;7;18;10;21;6;26;6;2
6;Netherlands;12;5;4;6;12;8;4;6;2;9;8;54
7;New Zealand;13;10;5;7;3;14;21;19;26;22;10;6
8;Germany;21;13;9;13;15;4;11;5;5;12;21;17
9;Luxembourg;3;8;8;21;22;16;2;7;9;19;33;9
10;Iceland;6;6;13;3;25;30;12;16;20;7;13;8
11;United Kingdom;16;15;11;14;4;6;9;15;8;23;15;24
12;Ireland;14;9;14;12;23;10;23;3;12;20;16;14
13;Austria;9;17;15;11;11;19;17;22;13;10;22;3
14;Canada;18;7;10;10;14;15;19;38;16;25;5;15
15;Hong Kong*;4;41;16;28;5;1;3;9;14;6;4;28
16;Singapore;7;95;25;18;1;5;1;1;10;1;1;91
17;Australia;26;14;12;15;9;21;29;31;21;18;9;19
18;United States;58;22;21;16;8;2;6;17;29;59;14;25
19;Japan;10;31;18;132;17;11;13;26;19;2;7;23
20;Malta;19;18;23;17;33;22;33;14;11;14;35;41
21;Estonia;33;25;19;38;20;20;24;11;28;55;18;13
22;Belgium;29;16;17;45;24;17;16;33;18;24;19;47
23;France;30;23;20;41;18;26;14;37;17;16;29;16
24;China;8;26;24;49;19;12;27;25;41;31;28;88
25;Spain;32;19;27;30;27;29;22;47;15;13;23;43
26;Portugal;25;11;26;53;31;28;25;49;27;30;39;45
27;Slovenia;23;27;33;40;41;40;26;29;23;32;24;4
28;Czechia;20;32;31;112;26;35;35;13;32;28;26;18
29;Korea;35;46;30;142;21;33;20;10;25;4;2;75
30;Italy;24;29;39;56;40;25;32;52;24;17;31;48
31;Israel;129;72;22;57;16;24;30;18;22;11;25;121
32;Slovakia;27;35;40;76;30;49;44;32;33;43;48;12
33;Lithuania;28;38;34;141;32;36;37;35;38;92;27;27
34;Cyprus;43;24;32;81;44;41;31;50;30;29;36;79
35;Latvia;34;39;37;130;34;37;40;34;40;87;30;11
36;Poland;22;62;38;111;38;32;42;39;31;40;34;62
37;Chile;66;28;28;65;37;39;34;51;44;70;46;55
41;Malaysia;85;119;54;29;28;27;41;27;65;39;42;39
42;Greece;42;43;41;114;93;34;38;88;39;33;41;29
43;Qatar;15;135;56;23;47;31;28;24;43;48;64;113
44;Mauritius;38;37;36;35;35;44;56;59;56;54;62;112
45;Croatia;31;49;46;136;55;89;39;48;34;57;47;31
46;Hungary;39;89;72;90;45;57;45;30;37;52;45;30
47;Romania;40;57;47;116;36;72;47;40;64;71;61;58
48;Seychelles;52;64;51;36;65;54;54;44;68;38;67;61
49;Bulgaria;61;69;58;123;60;53;58;36;49;65;43;76
50;Montenegro;46;55;50;73;49;52;50;80;52;91;52;105
51;Panama;47;48;60;70;61;79;48;42;78;45;91;36
52;Serbia;44;77;71;96;74;64;61;73;47;72;44;99
53;Georgia;71;53;49;122;39;47;49;77;94;90;54;142
56;Peru;74;45;67;144;54;68;78;62;98;60;63;26
57;China;108;159;91;34;48;38;52;23;66;21;56;147
58;Bahrain;127;156;90;19;46;45;36;61;36;53;59;135
59;Argentina;93;30;53;113;84;123;89;108;60;46;53;50
60;Oman;36;142;85;33;59;48;43;68;62;61;72;154
61;Armenia;75;83;75;75;56;60;67;91;79;67;51;108
62;Kuwait;68;115;93;50;78;83;51;41;35;51;85;116
63;Indonesia;96;103;62;5;64;62;88;58;106;97;88;69
64;Jamaica;118;34;52;85;63;63;79;112;67;50;82;139
65;Albania;62;75;70;120;69;65;63;113;90;69;50;73
66;Thailand;128;120;105;27;57;76;55;28;75;35;79;111
67;Mexico;140;68;80;118;66;75;53;45;81;37;74;78
68;Kazakhstan;89;139;87;72;51;70;77;53;59;84;38;133
69;Brazil;111;42;66;133;73;98;86;102;63;58;90;21
80;Ecuador;73;59;109;92;100;143;84;100;89;63;70;56
81;Moldova;84;98;84;105;82;101;65;111;74;96;60;134
